age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,deposit
33.0,11,1,3,390,1,0,2,9,5,665,2,0.0,3,1
32.0,3,0,0,311,0,0,2,12,5,757,2,0.0,3,1
35.0,11,2,3,414,0,0,2,13,5,504,4,0.0,3,1
33.0,3,1,2,5,1,0,2,13,5,1033,1,0.0,3,1
38.0,3,2,0,119,1,0,2,13,5,568,4,0.0,3,1
23.0,10,0,3,4,1,0,2,13,5,395,2,0.0,3,1
60.0,11,2,3,1262,1,1,2,13,5,1015,1,0.0,3,1
48.0,3,2,0,1949,1,0,2,13,5,683,2,0.0,3,1
45.0,10,1,0,-395,1,0,2,13,5,470,1,0.0,3,1
36.0,11,2,2,1165,1,0,2,13,5,1001,4,0.0,3,1
52.0,3,2,1,2240,1,0,2,13,5,845,1,0.0,3,1
35.0,11,1,3,300,1,0,2,13,5,945,2,0.0,3,1
43.0,7,2,2,3285,1,0,2,13,5,1033,2,0.0,3,1
52.0,9,2,2,3923,1,0,2,14,5,942,3,0.0,3,1
53.0,7,1,3,1443,1,0,2,14,5,476,1,0.0,3,1
48.0,11,1,3,24,1,0,2,14,5,832,1,0.0,3,1
41.0,11,0,3,1618,1,0,2,14,5,1033,1,0.0,3,1
39.0,3,1,0,517,1,1,2,14,5,1033,1,0.0,3,1
59.0,1,2,2,1521,1,1,2,14,5,1033,2,0.0,3,1
41.0,11,2,2,2823,1,0,2,14,5,858,1,0.0,3,1
48.0,11,2,2,1405,1,0,2,14,5,629,2,0.0,3,1
40.0,5,2,2,1535,1,0,2,14,5,704,1,0.0,3,1
48.0,11,2,2,1596,1,0,2,14,5,760,1,0.0,3,1
60.0,1,2,3,1542,1,0,2,14,5,930,1,0.0,3,1
40.0,7,0,1,3652,1,0,2,14,5,1028,2,0.0,3,1
57.0,7,2,0,-1,0,0,2,14,5,850,2,0.0,3,1
51.0,11,2,2,4087,1,0,2,14,5,927,1,0.0,3,1
41.0,11,1,2,4087,1,0,2,14,5,1033,3,0.0,3,1
41.0,11,2,2,1384,1,0,2,15,5,1033,4,0.0,3,1
52.0,11,1,3,-191,1,0,2,15,5,755,1,0.0,3,1
59.0,11,2,3,320,1,0,2,15,5,695,1,0.0,3,1
44.0,11,2,1,146,1,0,2,15,5,483,1,0.0,3,1
49.0,4,2,3,341,1,1,2,15,5,520,2,0.0,3,1
40.0,8,2,3,-9,1,0,2,15,5,920,2,0.0,3,1
41.0,5,2,3,-306,1,0,2,15,5,500,1,0.0,3,1
44.0,7,2,0,4087,1,0,2,15,5,911,2,0.0,3,1
60.0,8,0,3,313,1,0,2,15,5,920,2,0.0,3,1
29.0,3,2,0,4087,0,0,2,15,5,1033,2,0.0,3,1
41.0,1,1,3,-233,1,0,2,15,5,1033,2,0.0,3,1
41.0,11,2,3,2453,1,0,2,15,5,1033,1,0.0,3,1
42.0,7,0,2,1364,1,0,2,15,5,1033,6,0.0,3,1
36.0,8,0,1,281,1,0,2,16,5,515,1,0.0,3,1
39.0,7,2,0,94,1,1,2,16,5,813,1,0.0,3,1
31.0,6,0,0,144,1,0,2,16,5,676,1,0.0,3,1
26.0,11,2,2,246,1,0,2,16,5,1033,3,0.0,3,1
31.0,11,2,2,92,1,0,2,16,5,688,1,0.0,3,1
29.0,5,0,2,163,1,1,2,16,5,803,1,0.0,3,1
37.0,8,1,2,49,1,0,2,16,5,619,2,0.0,3,1
33.0,11,0,2,-416,1,0,2,16,5,767,2,0.0,3,1
24.0,7,0,2,409,1,0,2,16,5,912,1,0.0,3,1
50.0,5,1,2,363,1,0,2,16,5,1033,1,0.0,3,1
27.0,7,0,0,3706,1,0,2,16,5,897,1,0.0,3,1
54.0,3,0,0,4087,1,0,2,16,5,1033,3,0.0,3,1
30.0,7,0,2,863,1,0,2,16,5,1033,5,0.0,3,1
34.0,11,2,3,695,1,1,2,16,5,1033,4,0.0,3,1
37.0,3,0,2,792,1,0,2,16,5,1033,4,0.0,3,1
41.0,5,0,2,1020,1,0,2,19,5,882,1,0.0,3,1
47.0,11,2,2,863,1,0,2,19,5,943,2,0.0,3,1
31.0,5,2,2,97,1,0,2,19,5,607,1,0.0,3,1
31.0,11,2,2,754,1,0,2,19,5,1022,4,0.0,3,1
43.0,8,1,2,1040,1,0,2,19,5,552,3,0.0,3,1
37.0,3,1,0,122,1,0,2,19,5,1033,2,0.0,3,1
30.0,7,0,0,880,1,1,2,19,5,967,6,0.0,3,1
41.0,7,2,2,501,1,0,2,19,5,579,5,0.0,3,1
36.0,11,2,2,4087,1,0,2,20,5,446,1,0.0,3,1
35.0,11,1,2,0,1,0,2,20,5,1033,1,0.0,3,1
29.0,8,0,2,271,1,0,2,20,5,1033,2,0.0,3,1
35.0,11,2,3,102,1,0,2,20,5,1033,1,0.0,3,1
31.0,11,2,2,2,1,0,2,20,5,182,2,0.0,3,1
35.0,8,2,2,4087,1,0,2,20,5,1033,1,0.0,3,1
34.0,7,0,2,85,1,0,2,20,5,1033,4,0.0,3,1
31.0,5,0,2,431,1,1,2,20,5,1033,1,0.0,3,1
44.0,7,1,2,982,1,0,2,20,5,650,3,0.0,3,1
36.0,11,2,3,408,1,1,2,20,5,1033,2,0.0,3,1
35.0,11,2,1,4087,1,0,2,20,5,843,2,0.0,3,1
41.0,11,2,3,1250,1,0,2,20,5,1033,2,0.0,3,1
31.0,11,0,3,216,1,0,2,21,5,565,1,0.0,3,1
34.0,11,2,2,1207,1,0,2,21,5,905,1,0.0,3,1
32.0,7,2,2,791,1,0,2,21,5,783,2,0.0,3,1
36.0,3,2,0,849,1,1,2,21,5,958,2,0.0,3,1
30.0,11,0,2,239,1,0,2,21,5,412,1,0.0,3,1
37.0,7,0,2,1211,1,0,2,21,5,795,1,0.0,3,1
36.0,11,2,3,599,1,0,2,21,5,649,2,0.0,3,1
31.0,3,0,0,825,1,0,2,21,5,506,2,0.0,3,1
27.0,7,2,2,2183,1,1,2,21,5,857,1,0.0,3,1
34.0,1,2,3,4087,0,0,2,21,5,1033,1,0.0,3,1
30.0,7,0,0,1289,1,0,2,21,5,1033,2,0.0,3,1
32.0,7,0,0,4087,1,0,2,21,5,860,2,0.0,3,1
37.0,7,0,2,3326,1,0,2,21,5,799,1,0.0,3,1
32.0,11,2,2,783,1,0,2,21,5,923,3,0.0,3,1
33.0,11,2,2,0,1,0,2,21,5,521,3,0.0,3,1
35.0,11,2,3,994,1,0,2,23,5,1033,6,0.0,3,1
35.0,6,1,0,1354,1,0,2,23,5,736,2,0.0,3,1
30.0,11,0,2,239,1,0,2,23,5,785,1,0.0,3,1
45.0,11,1,3,-311,1,0,2,23,5,1030,1,0.0,3,1
45.0,5,2,2,149,1,0,2,23,5,893,3,0.0,3,1
33.0,11,2,2,1464,1,0,2,23,5,588,3,0.0,3,1
44.0,3,1,0,4087,0,0,2,23,5,597,6,0.0,3,1
40.0,11,2,3,278,1,0,2,23,5,1015,3,0.0,3,1
31.0,11,2,2,2910,1,0,2,23,5,1033,2,0.0,3,1
30.0,7,2,0,541,1,0,2,26,5,414,2,0.0,3,1
44.0,7,1,2,1262,1,0,2,26,5,788,6,0.0,3,1
34.0,8,2,2,-538,1,0,2,26,5,682,1,0.0,3,1
37.0,11,2,2,125,0,0,2,26,5,679,2,0.0,3,1
28.0,6,0,0,0,1,0,2,26,5,1033,2,0.0,3,1
32.0,5,0,2,620,1,0,2,26,5,1033,3,0.0,3,1
37.0,11,1,2,316,1,0,2,26,5,642,2,0.0,3,1
34.0,3,2,0,2287,1,0,2,26,5,895,4,0.0,3,1
38.0,5,1,2,198,1,0,2,26,5,431,2,0.0,3,1
28.0,5,0,2,460,1,0,2,26,5,741,6,0.0,3,1
31.0,3,1,0,1145,1,0,2,26,5,1033,4,0.0,3,1
59.0,8,2,2,-22,1,0,2,26,5,748,3,0.0,3,1
24.0,11,2,2,685,1,0,2,26,5,896,3,0.0,3,1
26.0,8,0,2,901,1,0,2,26,5,764,2,0.0,3,1
59.0,1,0,2,351,1,0,2,27,5,1033,5,0.0,3,1
30.0,10,0,3,0,1,1,2,27,5,1033,1,0.0,3,1
37.0,5,2,2,274,1,0,2,27,5,731,3,0.0,3,1
30.0,5,0,2,-213,1,1,2,27,5,751,1,0.0,3,1
25.0,11,2,2,97,1,0,2,27,5,709,1,0.0,3,1
44.0,8,1,2,51,1,1,2,27,5,1033,2,0.0,3,1
29.0,3,2,0,314,0,0,2,28,5,938,2,0.0,3,1
26.0,3,0,0,4087,1,0,2,28,5,1033,2,0.0,3,1
26.0,7,0,2,668,1,0,2,28,5,576,3,0.0,3,1
27.0,8,0,2,54,1,0,2,28,5,543,2,0.0,3,1
25.0,6,0,2,1242,1,0,2,28,5,615,2,0.0,3,1
28.0,3,2,2,292,1,0,2,28,5,507,1,0.0,3,1
23.0,8,0,2,665,1,0,2,28,5,1033,1,0.0,3,1
34.0,3,0,0,1058,1,0,2,28,5,864,2,0.0,3,1
28.0,0,0,2,949,1,0,2,28,5,1033,1,0.0,3,1
51.0,10,2,1,606,1,0,2,28,5,560,6,0.0,3,1
35.0,11,2,2,0,1,1,2,29,5,543,1,0.0,3,1
35.0,5,2,2,404,1,0,2,29,5,539,1,0.0,3,1
56.0,11,2,2,249,1,0,2,29,5,791,2,0.0,3,1
45.0,2,1,2,3354,1,0,2,29,5,746,1,0.0,3,1
60.0,11,1,2,0,1,0,2,29,5,1033,1,0.0,3,1
56.0,7,2,2,589,1,0,2,29,5,535,2,0.0,3,1
27.0,3,0,0,4087,1,0,2,29,5,789,3,0.0,3,1
30.0,5,2,2,873,1,0,2,29,5,792,3,0.0,3,1
45.0,11,1,3,594,1,0,2,29,5,833,2,0.0,3,1
29.0,11,0,2,-20,1,0,2,29,5,814,2,0.0,3,1
38.0,3,1,0,4087,1,0,2,29,5,1033,2,0.0,3,1
30.0,11,2,2,486,1,0,2,29,5,1033,3,0.0,3,1
44.0,11,0,3,1593,1,0,2,29,5,828,3,0.0,3,1
36.0,3,0,0,4087,1,0,2,30,5,917,1,0.0,3,1
38.0,7,2,2,226,1,0,2,30,5,762,3,0.0,3,1
36.0,11,0,2,366,1,1,2,30,5,1033,2,0.0,3,1
37.0,3,1,2,16,1,0,2,30,5,638,1,0.0,3,1
35.0,3,0,0,565,1,0,2,30,5,763,1,0.0,3,1
38.0,5,1,2,19,1,0,2,30,5,604,2,0.0,3,1
40.0,8,2,3,1082,1,0,2,30,5,854,2,0.0,3,1
42.0,2,1,2,1713,1,0,2,30,5,855,2,0.0,3,1
46.0,3,1,0,4087,1,0,2,30,5,1033,1,0.0,3,1
35.0,7,1,2,4087,1,0,2,30,5,691,6,0.0,3,1
34.0,7,1,2,1451,1,0,2,30,5,1033,6,0.0,3,1
32.0,8,2,2,-34,1,0,2,30,5,1033,2,0.0,3,1
50.0,2,2,2,3674,1,0,2,30,5,886,3,0.0,3,1
35.0,11,2,2,698,1,1,2,30,5,1033,3,0.0,3,1
36.0,7,0,2,4087,1,0,2,30,5,812,3,0.0,3,1
53.0,11,1,3,2656,1,0,2,30,5,1033,2,0.0,3,1
46.0,3,0,0,2904,1,0,2,30,5,984,2,0.0,3,1
26.0,3,0,0,1004,1,0,2,30,5,228,2,0.0,3,1
45.0,7,0,2,410,1,0,2,30,5,891,4,0.0,3,1
31.0,2,1,3,0,1,0,2,30,5,745,6,0.0,3,1
29.0,3,0,0,0,1,0,2,30,5,539,6,0.0,3,1
53.0,10,0,2,62,1,0,2,30,5,1033,5,0.0,3,1
27.0,11,2,3,416,1,0,2,30,5,1033,2,0.0,3,1
39.0,3,2,0,2763,1,0,2,2,6,526,2,0.0,3,1
36.0,8,2,2,2984,1,0,2,2,6,394,1,0.0,3,1
41.0,11,2,3,143,1,1,2,2,6,659,2,0.0,3,1
36.0,8,2,3,0,1,0,2,2,6,1033,1,0.0,3,1
32.0,7,2,2,696,1,0,2,2,6,815,1,0.0,3,1
35.0,8,2,2,152,1,0,2,2,6,563,1,0.0,3,1
36.0,3,0,0,-78,1,0,2,2,6,1033,1,0.0,3,1
35.0,3,2,0,867,1,0,2,2,6,230,3,0.0,3,1
30.0,11,0,2,953,1,0,2,2,6,747,2,0.0,3,1
42.0,11,2,2,443,1,0,2,2,6,671,5,0.0,3,1
42.0,7,0,2,-1129,1,0,2,2,6,555,5,0.0,3,1
32.0,11,2,3,415,1,0,2,2,6,777,4,0.0,3,1
29.0,11,0,2,260,1,0,2,2,6,707,6,0.0,3,1
44.0,3,1,0,-411,1,0,2,2,6,432,4,0.0,3,1
32.0,7,0,2,1279,1,0,2,3,6,1033,3,0.0,3,1
31.0,2,2,2,86,1,1,2,3,6,963,2,0.0,3,1
40.0,6,2,2,-754,1,1,2,3,6,941,3,0.0,3,1
43.0,10,2,2,0,0,0,2,3,6,1025,6,0.0,3,1
27.0,3,0,2,178,1,0,2,3,6,732,2,0.0,3,1
37.0,8,0,2,278,1,0,2,3,6,1033,3,0.0,3,1
23.0,8,0,2,425,1,0,2,3,6,768,1,0.0,3,1
25.0,3,2,3,168,1,0,2,3,6,801,1,0.0,3,1
26.0,11,0,2,-36,1,0,2,3,6,482,2,0.0,3,1
47.0,11,1,3,126,1,0,2,3,6,1033,2,0.0,3,1
35.0,5,2,2,-87,1,0,2,3,6,1033,6,0.0,3,1
32.0,7,0,0,4087,1,0,2,3,6,1033,4,0.0,3,1
45.0,3,1,2,644,1,0,2,4,6,633,1,0.0,3,1
30.0,5,1,2,377,1,0,2,4,6,524,6,0.0,3,1
29.0,8,0,2,-271,1,0,2,4,6,578,1,0.0,3,1
38.0,11,2,3,4087,1,0,2,4,6,984,2,0.0,3,1
23.0,11,0,2,492,1,0,2,4,6,638,1,0.0,3,1
27.0,3,0,0,99,1,0,2,4,6,767,2,0.0,3,1
27.0,3,0,0,-713,1,0,2,4,6,525,2,0.0,3,1
29.0,8,0,2,32,1,0,2,4,6,563,1,0.0,3,1
30.0,6,2,0,543,1,1,2,4,6,1033,6,0.0,3,1
36.0,11,2,3,403,1,0,2,4,6,920,1,0.0,3,1
35.0,5,1,2,437,1,0,2,4,6,908,1,0.0,3,1
36.0,11,2,2,1772,0,0,2,5,6,208,1,0.0,3,1
59.0,1,1,3,-88,1,0,2,5,6,910,2,0.0,3,1
47.0,10,2,2,0,0,0,2,5,6,1033,1,0.0,3,1
58.0,10,2,0,853,0,0,2,5,6,1033,2,0.0,3,1
37.0,3,0,0,240,0,0,2,5,6,1033,1,0.0,3,1
46.0,5,0,2,849,1,0,2,5,6,508,2,0.0,3,1
43.0,11,0,2,318,1,0,2,5,6,736,2,0.0,3,1
27.0,3,0,0,703,1,0,2,5,6,590,3,0.0,3,1
38.0,8,1,2,61,0,0,2,5,6,636,1,0.0,3,1
53.0,9,2,3,104,0,1,2,5,6,701,1,0.0,3,1
47.0,11,2,2,1996,0,0,2,5,6,761,2,0.0,3,1
56.0,9,1,3,1238,0,0,2,5,6,1033,1,0.0,3,1
41.0,9,2,2,879,0,0,2,5,6,1033,2,0.0,3,1
29.0,6,2,2,425,1,0,2,5,6,562,6,0.0,3,1
50.0,7,2,2,416,1,0,2,5,6,494,5,0.0,3,1
45.0,11,1,3,844,0,0,2,5,6,1018,3,0.0,3,1
35.0,11,2,2,860,1,0,2,5,6,884,4,0.0,3,1
26.0,7,0,2,639,1,0,2,6,6,709,5,0.0,3,1
26.0,5,2,2,710,1,1,2,6,6,1033,2,0.0,3,1
37.0,11,2,1,1508,0,1,2,6,6,381,2,0.0,3,1
30.0,5,0,2,223,1,0,2,6,6,862,6,0.0,3,1
38.0,3,0,0,619,1,0,2,6,6,460,4,0.0,3,1
37.0,8,1,2,319,1,0,2,6,6,467,3,0.0,3,1
53.0,7,2,2,480,0,0,2,6,6,648,2,0.0,3,1
29.0,11,0,3,213,1,0,2,6,6,1033,3,0.0,3,1
35.0,3,0,0,68,0,0,2,6,6,1033,1,0.0,3,1
28.0,11,2,2,2788,1,0,2,6,6,369,2,0.0,3,1
55.0,11,2,1,4087,0,0,2,6,6,685,3,0.0,3,1
49.0,3,1,2,-46,1,0,2,9,6,1033,6,0.0,3,1
50.0,8,2,2,1595,0,0,2,9,6,882,1,0.0,3,1
43.0,3,0,0,1046,0,0,2,9,6,901,1,0.0,3,1
58.0,6,1,0,1382,0,0,2,9,6,700,1,0.0,3,1
38.0,7,2,3,217,1,0,2,9,6,491,6,0.0,3,1
48.0,11,1,3,183,0,0,2,9,6,940,1,0.0,3,1
59.0,3,2,2,1321,0,0,2,9,6,1033,3,0.0,3,1
58.0,11,2,2,25,0,0,2,9,6,486,3,0.0,3,1
36.0,6,0,0,4087,0,0,2,9,6,1033,3,0.0,3,1
42.0,10,2,0,4087,0,0,2,11,6,878,3,0.0,3,1
41.0,5,0,2,812,0,1,2,11,6,583,4,0.0,3,1
42.0,5,2,2,105,0,0,2,11,6,1033,4,0.0,3,1
39.0,3,2,0,-190,0,1,2,11,6,893,6,0.0,3,1
57.0,9,2,3,625,0,1,2,11,6,867,1,0.0,3,1
52.0,1,2,1,293,0,0,2,11,6,706,1,0.0,3,1
59.0,1,2,1,1033,0,0,2,11,6,1033,1,0.0,3,1
56.0,11,2,2,1210,0,0,2,11,6,935,1,0.0,3,1
49.0,3,2,0,64,0,0,2,11,6,586,1,0.0,3,1
35.0,11,1,1,164,0,0,2,11,6,967,2,0.0,3,1
36.0,2,2,2,1766,0,0,2,11,6,595,2,0.0,3,1
40.0,5,0,0,1248,0,0,2,11,6,1033,2,0.0,3,1
55.0,11,2,2,0,0,0,2,12,6,614,2,0.0,3,1
58.0,5,2,2,826,0,0,2,12,6,885,1,0.0,3,1
39.0,6,2,0,2630,0,0,2,12,6,651,5,0.0,3,1
47.0,9,0,0,3727,0,0,2,12,6,993,6,0.0,3,1
40.0,3,2,2,406,1,0,2,12,6,577,2,0.0,3,1
35.0,11,2,0,2999,0,0,2,12,6,1033,6,0.0,3,1
48.0,11,2,2,1000,1,0,2,12,6,1033,2,0.0,3,1
48.0,3,1,0,503,0,1,2,12,6,1033,6,0.0,3,1
24.0,11,0,2,-203,1,0,2,12,6,465,3,0.0,3,1
49.0,11,2,3,361,1,0,2,16,6,513,2,0.0,3,1
36.0,11,2,2,274,1,0,2,16,6,686,6,0.0,3,1
52.0,1,1,0,3687,1,1,2,16,6,741,4,0.0,3,1
42.0,10,0,1,323,0,0,2,16,6,617,1,0.0,3,1
36.0,8,2,2,981,0,0,2,16,6,1033,1,0.0,3,1
36.0,11,1,2,638,1,0,2,16,6,1033,2,0.0,3,1
48.0,2,0,0,3229,0,0,2,16,6,1033,1,0.0,3,1
51.0,3,0,2,1610,1,0,2,16,6,1033,3,0.0,3,1
51.0,11,2,2,33,0,1,2,16,6,721,3,0.0,3,1
46.0,7,2,2,536,1,0,2,16,6,750,2,0.0,3,1
37.0,3,2,0,0,0,0,2,16,6,637,6,0.0,3,1
36.0,10,2,0,3057,0,0,2,16,6,1033,4,0.0,3,1
47.0,3,2,2,2892,0,0,2,17,6,556,1,0.0,3,1
40.0,7,1,0,0,0,0,2,17,6,522,1,0.0,3,1
38.0,0,0,0,3316,0,0,2,17,6,1033,3,0.0,3,1
40.0,3,2,2,106,0,0,2,17,6,676,2,0.0,3,1
39.0,11,2,3,2303,1,0,2,17,6,775,3,0.0,3,1
60.0,3,2,0,3301,0,0,2,17,6,1033,3,0.0,3,1
39.0,6,0,0,426,0,0,2,18,6,1029,1,0.0,3,1
51.0,8,1,2,9,0,0,2,18,6,371,2,0.0,3,1
27.0,5,2,2,-97,1,0,2,18,6,1033,2,0.0,3,1
41.0,3,0,0,4087,0,0,2,18,6,1033,1,0.0,3,1
42.0,11,0,3,4087,0,0,2,18,6,973,1,0.0,3,1
41.0,10,2,2,707,0,0,2,18,6,707,1,0.0,3,1
33.0,7,2,2,4,1,1,2,18,6,625,2,0.0,3,1
46.0,5,2,2,126,0,0,2,18,6,1033,1,0.0,3,1
31.0,11,2,2,671,1,0,2,18,6,704,4,0.0,3,1
41.0,11,2,3,219,0,1,2,18,6,1033,3,0.0,3,1
41.0,11,1,2,3622,0,0,2,19,6,1033,4,0.0,3,1
55.0,1,1,2,1580,0,1,2,19,6,1007,1,0.0,3,1
53.0,7,2,2,1319,0,0,2,19,6,1033,3,0.0,3,1
55.0,9,2,3,2152,0,0,2,19,6,922,2,0.0,3,1
39.0,8,2,2,2843,1,0,2,19,6,585,1,0.0,3,1
40.0,10,2,0,0,0,0,2,19,6,952,4,0.0,3,1
59.0,1,2,3,1115,0,0,2,19,6,834,1,0.0,3,1
42.0,11,0,2,625,0,0,2,19,6,651,3,0.0,3,1
41.0,11,2,3,246,0,0,2,19,6,683,3,0.0,3,1
27.0,11,2,2,61,1,0,2,19,6,1012,1,0.0,3,1
25.0,11,0,2,-191,1,0,2,19,6,958,6,0.0,3,1
43.0,2,2,3,519,0,0,2,20,6,973,2,0.0,3,1
44.0,8,2,2,522,0,1,2,20,6,911,1,0.0,3,1
26.0,11,0,2,-46,1,0,2,20,6,382,6,0.0,3,1
52.0,1,2,0,2269,0,0,2,20,6,1033,1,0.0,3,1
54.0,8,2,1,386,0,1,2,20,6,838,1,0.0,3,1
56.0,3,2,0,0,0,1,2,20,6,422,1,0.0,3,1
57.0,3,2,0,4087,0,1,2,20,6,1033,2,0.0,3,1
29.0,11,0,2,908,1,0,2,20,6,1033,1,0.0,3,1
47.0,7,2,0,1694,0,1,2,20,6,560,3,0.0,3,1
57.0,3,2,0,-92,1,1,2,20,6,1033,1,0.0,3,1
40.0,11,2,2,188,1,1,2,20,6,570,2,0.0,3,1
46.0,8,1,2,0,0,0,2,20,6,1023,3,0.0,3,1
43.0,11,0,2,740,1,0,2,20,6,585,2,0.0,3,1
45.0,3,2,0,655,0,0,2,20,6,693,3,0.0,3,1
24.0,3,2,2,867,1,0,2,20,6,546,6,0.0,3,1
40.0,11,2,2,1009,1,1,2,20,6,1033,5,0.0,3,1
38.0,8,1,1,4087,0,0,2,20,6,1033,2,0.0,3,1
36.0,2,2,0,4087,0,0,2,20,6,988,4,0.0,3,1
27.0,11,0,2,-27,0,0,2,23,6,498,2,0.0,3,1
26.0,5,0,3,-122,1,0,2,23,6,670,3,0.0,3,1
43.0,3,2,0,149,1,0,2,23,6,662,2,0.0,3,1
25.0,11,0,3,52,1,0,2,24,6,528,2,0.0,3,1
27.0,11,2,0,335,1,0,2,26,6,519,3,0.0,3,1
30.0,7,2,0,526,1,1,2,26,6,677,3,0.0,3,1
28.0,5,0,2,-7,0,1,2,26,6,1033,2,0.0,3,1
27.0,11,2,3,-413,0,1,2,27,6,422,6,0.0,3,1
32.0,5,1,2,-241,0,1,2,27,6,856,2,0.0,3,1
41.0,11,0,2,75,1,0,2,1,7,479,6,0.0,3,1
37.0,7,0,0,0,0,0,2,1,7,1033,2,0.0,3,1
27.0,7,0,2,158,0,0,2,1,7,650,2,0.0,3,1
29.0,8,0,2,84,0,1,2,3,7,587,3,0.0,3,1
33.0,8,2,2,114,0,1,2,3,7,676,1,0.0,3,1
36.0,7,2,3,0,0,0,2,4,7,584,1,0.0,3,1
28.0,11,0,2,-127,1,0,0,4,7,1033,3,0.0,3,1
55.0,11,2,2,49,1,0,0,7,7,494,4,0.0,3,1
51.0,7,2,2,216,0,0,0,7,7,615,2,0.0,3,1
39.0,7,0,2,506,1,0,0,7,7,718,2,0.0,3,1
42.0,11,1,3,213,1,0,0,7,7,434,3,0.0,3,1
33.0,8,0,2,170,0,0,0,7,7,782,1,0.0,3,1
36.0,10,1,0,776,0,1,0,7,7,722,3,0.0,3,1
45.0,7,2,2,879,0,0,0,7,7,621,2,0.0,3,1
37.0,6,2,2,1633,0,0,0,7,7,629,2,0.0,3,1
46.0,2,2,2,926,0,0,0,7,7,385,5,0.0,3,1
32.0,6,0,0,2559,0,0,0,7,7,889,1,0.0,3,1
28.0,7,0,2,909,0,1,0,7,7,532,1,0.0,3,1
45.0,5,1,2,-176,0,1,0,7,7,574,1,0.0,3,1
41.0,11,0,2,1085,1,1,0,7,7,599,1,0.0,3,1
59.0,11,1,3,1265,0,1,0,7,7,849,1,0.0,3,1
47.0,7,0,2,-239,1,1,0,7,7,973,3,0.0,3,1
31.0,11,0,2,726,0,0,0,7,7,719,2,0.0,3,1
31.0,3,0,0,296,0,1,0,8,7,509,4,0.0,3,1
33.0,10,2,2,-627,1,1,0,8,7,740,1,0.0,3,1
52.0,10,2,0,-468,0,0,0,8,7,534,1,0.0,3,1
26.0,6,0,2,551,0,0,0,8,7,531,1,0.0,3,1
25.0,7,0,2,0,0,1,0,8,7,634,1,0.0,3,1
25.0,11,2,2,101,0,1,0,8,7,460,3,0.0,3,1
28.0,11,0,2,517,0,1,0,8,7,681,1,0.0,3,1
33.0,10,1,0,37,0,1,0,8,7,1033,1,0.0,3,1
45.0,3,1,0,854,0,1,0,8,7,730,1,0.0,3,1
36.0,8,2,2,30,0,1,0,8,7,716,5,0.0,3,1
26.0,11,0,2,81,0,1,0,8,7,803,2,0.0,3,1
38.0,7,2,2,0,0,0,0,8,7,635,1,0.0,3,1
56.0,11,0,2,663,0,1,0,8,7,819,3,0.0,3,1
26.0,5,0,2,102,0,1,0,8,7,658,2,0.0,3,1
26.0,7,2,2,370,0,1,0,8,7,1033,4,0.0,3,1
25.0,11,0,2,189,0,1,0,8,7,687,2,0.0,3,1
